clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,technique,trajectory_shape,dynamic_label,technique_keyswitch,cc1_mean,cc1_low,cc1_high,trajectory_steps,note_onset_s,note_seconds,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,midi_path,audio_path,analysis_tier
temporal_A4-rep01__t-tremolo__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,ramp_down,ramp_down,37,64,32,96,48,0.75,6.0,8220401862667147552,20260826,temporal_A4-tremolo-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-tremolo__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-tremolo__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-tremolo__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,ramp_down,ramp_down,37,64,32,96,48,0.75,6.0,4299147415157454001,20260826,temporal_A4-tremolo-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-tremolo__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-tremolo__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-tremolo__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,ramp_down,ramp_down,37,64,32,96,48,0.75,6.0,4566299434845604760,20260826,temporal_A4-tremolo-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-tremolo__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-tremolo__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-tremolo__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,ramp_down,ramp_down,37,64,32,96,48,0.75,6.0,1127068673306939330,20260826,temporal_A4-tremolo-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-tremolo__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-tremolo__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-tremolo__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,step_up,step_up,37,64,32,96,48,0.75,6.0,8220401862667147552,20260826,temporal_A4-tremolo-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-tremolo__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-tremolo__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-tremolo__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,step_up,step_up,37,64,32,96,48,0.75,6.0,4299147415157454001,20260826,temporal_A4-tremolo-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-tremolo__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-tremolo__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-tremolo__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,step_up,step_up,37,64,32,96,48,0.75,6.0,4566299434845604760,20260826,temporal_A4-tremolo-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-tremolo__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-tremolo__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-tremolo__d-step_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,step_up,step_up,37,64,32,96,48,0.75,6.0,1127068673306939330,20260826,temporal_A4-tremolo-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-tremolo__d-step_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-tremolo__d-step_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-tremolo__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,step_down,step_down,37,64,32,96,48,0.75,6.0,8220401862667147552,20260826,temporal_A4-tremolo-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-tremolo__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-tremolo__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-tremolo__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,step_down,step_down,37,64,32,96,48,0.75,6.0,4299147415157454001,20260826,temporal_A4-tremolo-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-tremolo__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-tremolo__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-tremolo__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,step_down,step_down,37,64,32,96,48,0.75,6.0,4566299434845604760,20260826,temporal_A4-tremolo-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-tremolo__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-tremolo__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-tremolo__d-step_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,step_down,step_down,37,64,32,96,48,0.75,6.0,1127068673306939330,20260826,temporal_A4-tremolo-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-tremolo__d-step_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-tremolo__d-step_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-tremolo__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,oscillate,oscillate,37,64,32,96,48,0.75,6.0,8220401862667147552,20260826,temporal_A4-tremolo-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-tremolo__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-tremolo__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-tremolo__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,oscillate,oscillate,37,64,32,96,48,0.75,6.0,4299147415157454001,20260826,temporal_A4-tremolo-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-tremolo__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-tremolo__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-tremolo__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,oscillate,oscillate,37,64,32,96,48,0.75,6.0,4566299434845604760,20260826,temporal_A4-tremolo-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-tremolo__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-tremolo__d-oscillate__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-tremolo__d-oscillate__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,tremolo,oscillate,oscillate,37,64,32,96,48,0.75,6.0,1127068673306939330,20260826,temporal_A4-tremolo-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-tremolo__d-oscillate__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-tremolo__d-oscillate__p-temporal_control.wav,generator_only_exploratory
