clip_id,source,model,profile,prompt_id,pattern,register,technique,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,violin_id,performer_id,take,replicate,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,raw_audio_path,status,recording_order
r__long_low__t-pizzicato__d-f__p-constant__v-V3__take02,real,real_violin,constant,long_low,long,low,pizzicato,43,f,96,96,,V3,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__long_low__t-pizzicato__d-f__p-constant__v-V3__take02.wav,data/real_raw/r__long_low__t-pizzicato__d-f__p-constant__v-V3__take02.wav,planned,167
r__scale_mid__t-legato_slur__d-mf__p-constant__v-V3__take02,real,real_violin,constant,scale_mid,scale,mid,legato_slur,49,mf,64,64,,V3,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_mid__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__scale_mid__t-legato_slur__d-mf__p-constant__v-V3__take02.wav,data/real_raw/r__scale_mid__t-legato_slur__d-mf__p-constant__v-V3__take02.wav,planned,168
r__long_short_mid__t-legato_slur__d-f__p-constant__v-V1__take01,real,real_violin,constant,long_short_mid,long_short,mid,legato_slur,49,f,96,96,,V1,P1,1,1,69.0,True,0.75,data/midi/expanded/reference/ref__long_short_mid__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__long_short_mid__t-legato_slur__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__long_short_mid__t-legato_slur__d-f__p-constant__v-V1__take01.wav,planned,169
r__repeat_low__t-staccato__d-mf__p-constant__v-V3__take01,real,real_violin,constant,repeat_low,repeat,low,staccato,40,mf,64,64,,V3,P1,1,1,62.0,True,0.75,data/midi/expanded/reference/ref__repeat_low__t-staccato__d-mf__p-constant.mid,data/real_48k/r__repeat_low__t-staccato__d-mf__p-constant__v-V3__take01.wav,data/real_raw/r__repeat_low__t-staccato__d-mf__p-constant__v-V3__take01.wav,planned,170
r__repeat_mid__t-pizzicato__d-p__p-constant__v-V1__take02,real,real_violin,constant,repeat_mid,repeat,mid,pizzicato,43,p,32,32,,V1,P1,2,2,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__repeat_mid__t-pizzicato__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__repeat_mid__t-pizzicato__d-p__p-constant__v-V1__take02.wav,planned,171
r__arpeggio_low__t-staccato__d-p__p-constant__v-V1__take02,real,real_violin,constant,arpeggio_low,arpeggio,low,staccato,40,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__arpeggio_low__t-staccato__d-p__p-constant.mid,data/real_48k/r__arpeggio_low__t-staccato__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__arpeggio_low__t-staccato__d-p__p-constant__v-V1__take02.wav,planned,172
r__leap_low__t-sustain__d-mf__p-constant__v-V1__take02,real,real_violin,constant,leap_low,leap,low,sustain,36,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_low__t-sustain__d-mf__p-constant.mid,data/real_48k/r__leap_low__t-sustain__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__leap_low__t-sustain__d-mf__p-constant__v-V1__take02.wav,planned,173
r__leap_low__t-pizzicato__d-mf__p-constant__v-V2__take02,real,real_violin,constant,leap_low,leap,low,pizzicato,43,mf,64,64,,V2,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_low__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__leap_low__t-pizzicato__d-mf__p-constant__v-V2__take02.wav,data/real_raw/r__leap_low__t-pizzicato__d-mf__p-constant__v-V2__take02.wav,planned,174
r__scale_low__t-sustain__d-f__p-constant__v-V3__take01,real,real_violin,constant,scale_low,scale,low,sustain,36,f,96,96,,V3,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_low__t-sustain__d-f__p-constant.mid,data/real_48k/r__scale_low__t-sustain__d-f__p-constant__v-V3__take01.wav,data/real_raw/r__scale_low__t-sustain__d-f__p-constant__v-V3__take01.wav,planned,175
r__repeat_mid__t-staccato__d-p__p-constant__v-V3__take02,real,real_violin,constant,repeat_mid,repeat,mid,staccato,40,p,32,32,,V3,P1,2,2,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-staccato__d-p__p-constant.mid,data/real_48k/r__repeat_mid__t-staccato__d-p__p-constant__v-V3__take02.wav,data/real_raw/r__repeat_mid__t-staccato__d-p__p-constant__v-V3__take02.wav,planned,176
r__long_high__t-staccato__d-p__p-constant__v-V3__take01,real,real_violin,constant,long_high,long,high,staccato,40,p,32,32,,V3,P1,1,1,81.0,True,0.75,data/midi/expanded/reference/ref__long_high__t-staccato__d-p__p-constant.mid,data/real_48k/r__long_high__t-staccato__d-p__p-constant__v-V3__take01.wav,data/real_raw/r__long_high__t-staccato__d-p__p-constant__v-V3__take01.wav,planned,177
r__leap_high__t-staccato__d-f__p-constant__v-V1__take01,real,real_violin,constant,leap_high,leap,high,staccato,40,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_high__t-staccato__d-f__p-constant.mid,data/real_48k/r__leap_high__t-staccato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__leap_high__t-staccato__d-f__p-constant__v-V1__take01.wav,planned,178
r__repeat_mid__t-legato_slur__d-mf__p-constant__v-V1__take01,real,real_violin,constant,repeat_mid,repeat,mid,legato_slur,49,mf,64,64,,V1,P1,1,1,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__repeat_mid__t-legato_slur__d-mf__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_mid__t-legato_slur__d-mf__p-constant__v-V1__take01.wav,planned,179
r__repeat_high__t-staccato__d-p__p-constant__v-V3__take01,real,real_violin,constant,repeat_high,repeat,high,staccato,40,p,32,32,,V3,P1,1,1,86.0,True,0.75,data/midi/expanded/reference/ref__repeat_high__t-staccato__d-p__p-constant.mid,data/real_48k/r__repeat_high__t-staccato__d-p__p-constant__v-V3__take01.wav,data/real_raw/r__repeat_high__t-staccato__d-p__p-constant__v-V3__take01.wav,planned,180
r__long_mid__t-legato_slur__d-mf__p-constant__v-V3__take01,real,real_violin,constant,long_mid,long,mid,legato_slur,49,mf,64,64,,V3,P1,1,1,69.0,True,0.75,data/midi/expanded/reference/ref__long_mid__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__long_mid__t-legato_slur__d-mf__p-constant__v-V3__take01.wav,data/real_raw/r__long_mid__t-legato_slur__d-mf__p-constant__v-V3__take01.wav,planned,181
r__repeat_low__t-staccato__d-mf__p-constant__v-V2__take02,real,real_violin,constant,repeat_low,repeat,low,staccato,40,mf,64,64,,V2,P1,2,2,62.0,True,0.75,data/midi/expanded/reference/ref__repeat_low__t-staccato__d-mf__p-constant.mid,data/real_48k/r__repeat_low__t-staccato__d-mf__p-constant__v-V2__take02.wav,data/real_raw/r__repeat_low__t-staccato__d-mf__p-constant__v-V2__take02.wav,planned,182
r__arpeggio_low__t-staccato__d-p__p-constant__v-V1__take01,real,real_violin,constant,arpeggio_low,arpeggio,low,staccato,40,p,32,32,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__arpeggio_low__t-staccato__d-p__p-constant.mid,data/real_48k/r__arpeggio_low__t-staccato__d-p__p-constant__v-V1__take01.wav,data/real_raw/r__arpeggio_low__t-staccato__d-p__p-constant__v-V1__take01.wav,planned,183
r__descend_mid__t-staccato__d-p__p-constant__v-V1__take02,real,real_violin,constant,descend_mid,descend,mid,staccato,40,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__descend_mid__t-staccato__d-p__p-constant.mid,data/real_48k/r__descend_mid__t-staccato__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__descend_mid__t-staccato__d-p__p-constant__v-V1__take02.wav,planned,184
r__repeat_mid__t-legato_slur__d-p__p-constant__v-V2__take01,real,real_violin,constant,repeat_mid,repeat,mid,legato_slur,49,p,32,32,,V2,P1,1,1,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__repeat_mid__t-legato_slur__d-p__p-constant__v-V2__take01.wav,data/real_raw/r__repeat_mid__t-legato_slur__d-p__p-constant__v-V2__take01.wav,planned,185
r__long_short_low__t-staccato__d-f__p-constant__v-V1__take02,real,real_violin,constant,long_short_low,long_short,low,staccato,40,f,96,96,,V1,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_short_low__t-staccato__d-f__p-constant.mid,data/real_48k/r__long_short_low__t-staccato__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__long_short_low__t-staccato__d-f__p-constant__v-V1__take02.wav,planned,186
r__arpeggio_low__t-sustain__d-f__p-constant__v-V1__take02,real,real_violin,constant,arpeggio_low,arpeggio,low,sustain,36,f,96,96,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__arpeggio_low__t-sustain__d-f__p-constant.mid,data/real_48k/r__arpeggio_low__t-sustain__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__arpeggio_low__t-sustain__d-f__p-constant__v-V1__take02.wav,planned,187
r__leap_low__t-legato_slur__d-mf__p-constant__v-V2__take01,real,real_violin,constant,leap_low,leap,low,legato_slur,49,mf,64,64,,V2,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_low__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__leap_low__t-legato_slur__d-mf__p-constant__v-V2__take01.wav,data/real_raw/r__leap_low__t-legato_slur__d-mf__p-constant__v-V2__take01.wav,planned,188
r__scale_low__t-staccato__d-p__p-constant__v-V1__take02,real,real_violin,constant,scale_low,scale,low,staccato,40,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_low__t-staccato__d-p__p-constant.mid,data/real_48k/r__scale_low__t-staccato__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__scale_low__t-staccato__d-p__p-constant__v-V1__take02.wav,planned,189
r__arpeggio_high__t-staccato__d-f__p-constant__v-V1__take02,real,real_violin,constant,arpeggio_high,arpeggio,high,staccato,40,f,96,96,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__arpeggio_high__t-staccato__d-f__p-constant.mid,data/real_48k/r__arpeggio_high__t-staccato__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__arpeggio_high__t-staccato__d-f__p-constant__v-V1__take02.wav,planned,190
r__leap_mid__t-staccato__d-f__p-constant__v-V1__take01,real,real_violin,constant,leap_mid,leap,mid,staccato,40,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__leap_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__leap_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,planned,191
r__leap_mid__t-pizzicato__d-f__p-constant__v-V2__take01,real,real_violin,constant,leap_mid,leap,mid,pizzicato,43,f,96,96,,V2,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_mid__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__leap_mid__t-pizzicato__d-f__p-constant__v-V2__take01.wav,data/real_raw/r__leap_mid__t-pizzicato__d-f__p-constant__v-V2__take01.wav,planned,192
r__long_short_mid__t-sustain__d-f__p-constant__v-V1__take01,real,real_violin,constant,long_short_mid,long_short,mid,sustain,36,f,96,96,,V1,P1,1,1,69.0,True,0.75,data/midi/expanded/reference/ref__long_short_mid__t-sustain__d-f__p-constant.mid,data/real_48k/r__long_short_mid__t-sustain__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__long_short_mid__t-sustain__d-f__p-constant__v-V1__take01.wav,planned,193
r__long_low__t-legato_slur__d-f__p-constant__v-V3__take02,real,real_violin,constant,long_low,long,low,legato_slur,49,f,96,96,,V3,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__long_low__t-legato_slur__d-f__p-constant__v-V3__take02.wav,data/real_raw/r__long_low__t-legato_slur__d-f__p-constant__v-V3__take02.wav,planned,194
r__long_short_high__t-pizzicato__d-f__p-constant__v-V1__take02,real,real_violin,constant,long_short_high,long_short,high,pizzicato,43,f,96,96,,V1,P1,2,2,81.0,True,0.75,data/midi/expanded/reference/ref__long_short_high__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__long_short_high__t-pizzicato__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__long_short_high__t-pizzicato__d-f__p-constant__v-V1__take02.wav,planned,195
r__repeat_mid__t-pizzicato__d-f__p-constant__v-V1__take01,real,real_violin,constant,repeat_mid,repeat,mid,pizzicato,43,f,96,96,,V1,P1,1,1,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__repeat_mid__t-pizzicato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_mid__t-pizzicato__d-f__p-constant__v-V1__take01.wav,planned,196
r__descend_mid__t-staccato__d-f__p-constant__v-V1__take01,real,real_violin,constant,descend_mid,descend,mid,staccato,40,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__descend_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__descend_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__descend_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,planned,197
r__repeat_slow_high__t-sustain__d-f__p-constant__v-V1__take01,real,real_violin,constant,repeat_slow_high,repeat_slow,high,sustain,36,f,96,96,,V1,P1,1,1,86.0,True,0.75,data/midi/expanded/reference/ref__repeat_slow_high__t-sustain__d-f__p-constant.mid,data/real_48k/r__repeat_slow_high__t-sustain__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_slow_high__t-sustain__d-f__p-constant__v-V1__take01.wav,planned,198
r__scale_high__t-sustain__d-p__p-constant__v-V2__take02,real,real_violin,constant,scale_high,scale,high,sustain,36,p,32,32,,V2,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_high__t-sustain__d-p__p-constant.mid,data/real_48k/r__scale_high__t-sustain__d-p__p-constant__v-V2__take02.wav,data/real_raw/r__scale_high__t-sustain__d-p__p-constant__v-V2__take02.wav,planned,199
r__leap_high__t-pizzicato__d-f__p-constant__v-V2__take02,real,real_violin,constant,leap_high,leap,high,pizzicato,43,f,96,96,,V2,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_high__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__leap_high__t-pizzicato__d-f__p-constant__v-V2__take02.wav,data/real_raw/r__leap_high__t-pizzicato__d-f__p-constant__v-V2__take02.wav,planned,200
r__leap_low__t-staccato__d-f__p-constant__v-V3__take01,real,real_violin,constant,leap_low,leap,low,staccato,40,f,96,96,,V3,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_low__t-staccato__d-f__p-constant.mid,data/real_48k/r__leap_low__t-staccato__d-f__p-constant__v-V3__take01.wav,data/real_raw/r__leap_low__t-staccato__d-f__p-constant__v-V3__take01.wav,planned,201
r__long_short_high__t-pizzicato__d-f__p-constant__v-V1__take01,real,real_violin,constant,long_short_high,long_short,high,pizzicato,43,f,96,96,,V1,P1,1,1,81.0,True,0.75,data/midi/expanded/reference/ref__long_short_high__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__long_short_high__t-pizzicato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__long_short_high__t-pizzicato__d-f__p-constant__v-V1__take01.wav,planned,202
r__scale_mid__t-staccato__d-p__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,staccato,40,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_mid__t-staccato__d-p__p-constant.mid,data/real_48k/r__scale_mid__t-staccato__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-staccato__d-p__p-constant__v-V1__take02.wav,planned,203
r__scale_high__t-staccato__d-mf__p-constant__v-V2__take02,real,real_violin,constant,scale_high,scale,high,staccato,40,mf,64,64,,V2,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_high__t-staccato__d-mf__p-constant.mid,data/real_48k/r__scale_high__t-staccato__d-mf__p-constant__v-V2__take02.wav,data/real_raw/r__scale_high__t-staccato__d-mf__p-constant__v-V2__take02.wav,planned,204
r__repeat_mid__t-staccato__d-f__p-constant__v-V1__take01,real,real_violin,constant,repeat_mid,repeat,mid,staccato,40,f,96,96,,V1,P1,1,1,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__repeat_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,planned,205
r__long_low__t-sustain__d-p__p-constant__v-V2__take02,real,real_violin,constant,long_low,long,low,sustain,36,p,32,32,,V2,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-sustain__d-p__p-constant.mid,data/real_48k/r__long_low__t-sustain__d-p__p-constant__v-V2__take02.wav,data/real_raw/r__long_low__t-sustain__d-p__p-constant__v-V2__take02.wav,planned,206
r__leap_mid__t-pizzicato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,leap_mid,leap,mid,pizzicato,43,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_mid__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__leap_mid__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__leap_mid__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,planned,207
r__scale_mid__t-staccato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,staccato,40,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_mid__t-staccato__d-mf__p-constant.mid,data/real_48k/r__scale_mid__t-staccato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-staccato__d-mf__p-constant__v-V1__take02.wav,planned,208
r__scale_mid__t-staccato__d-mf__p-constant__v-V2__take02,real,real_violin,constant,scale_mid,scale,mid,staccato,40,mf,64,64,,V2,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_mid__t-staccato__d-mf__p-constant.mid,data/real_48k/r__scale_mid__t-staccato__d-mf__p-constant__v-V2__take02.wav,data/real_raw/r__scale_mid__t-staccato__d-mf__p-constant__v-V2__take02.wav,planned,209
r__scale_low__t-pizzicato__d-f__p-constant__v-V2__take01,real,real_violin,constant,scale_low,scale,low,pizzicato,43,f,96,96,,V2,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_low__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__scale_low__t-pizzicato__d-f__p-constant__v-V2__take01.wav,data/real_raw/r__scale_low__t-pizzicato__d-f__p-constant__v-V2__take01.wav,planned,210
r__leap_mid__t-staccato__d-p__p-constant__v-V1__take01,real,real_violin,constant,leap_mid,leap,mid,staccato,40,p,32,32,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_mid__t-staccato__d-p__p-constant.mid,data/real_48k/r__leap_mid__t-staccato__d-p__p-constant__v-V1__take01.wav,data/real_raw/r__leap_mid__t-staccato__d-p__p-constant__v-V1__take01.wav,planned,211
r__scale_high__t-legato_slur__d-mf__p-constant__v-V3__take02,real,real_violin,constant,scale_high,scale,high,legato_slur,49,mf,64,64,,V3,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_high__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__scale_high__t-legato_slur__d-mf__p-constant__v-V3__take02.wav,data/real_raw/r__scale_high__t-legato_slur__d-mf__p-constant__v-V3__take02.wav,planned,212
r__scale_mid__t-pizzicato__d-mf__p-constant__v-V3__take01,real,real_violin,constant,scale_mid,scale,mid,pizzicato,43,mf,64,64,,V3,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_mid__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__scale_mid__t-pizzicato__d-mf__p-constant__v-V3__take01.wav,data/real_raw/r__scale_mid__t-pizzicato__d-mf__p-constant__v-V3__take01.wav,planned,213
r__long_low__t-legato_slur__d-f__p-constant__v-V2__take02,real,real_violin,constant,long_low,long,low,legato_slur,49,f,96,96,,V2,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__long_low__t-legato_slur__d-f__p-constant__v-V2__take02.wav,data/real_raw/r__long_low__t-legato_slur__d-f__p-constant__v-V2__take02.wav,planned,214
r__scale_high__t-staccato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,scale_high,scale,high,staccato,40,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_high__t-staccato__d-mf__p-constant.mid,data/real_48k/r__scale_high__t-staccato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__scale_high__t-staccato__d-mf__p-constant__v-V1__take02.wav,planned,215
r__arpeggio_mid__t-staccato__d-f__p-constant__v-V1__take02,real,real_violin,constant,arpeggio_mid,arpeggio,mid,staccato,40,f,96,96,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__arpeggio_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__arpeggio_mid__t-staccato__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__arpeggio_mid__t-staccato__d-f__p-constant__v-V1__take02.wav,planned,216
r__descend_mid__t-legato_slur__d-p__p-constant__v-V1__take02,real,real_violin,constant,descend_mid,descend,mid,legato_slur,49,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__descend_mid__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__descend_mid__t-legato_slur__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__descend_mid__t-legato_slur__d-p__p-constant__v-V1__take02.wav,planned,217
r__repeat_mid__t-staccato__d-mf__p-constant__v-V3__take01,real,real_violin,constant,repeat_mid,repeat,mid,staccato,40,mf,64,64,,V3,P1,1,1,74.0,True,0.75,data/midi/expanded/reference/ref__repeat_mid__t-staccato__d-mf__p-constant.mid,data/real_48k/r__repeat_mid__t-staccato__d-mf__p-constant__v-V3__take01.wav,data/real_raw/r__repeat_mid__t-staccato__d-mf__p-constant__v-V3__take01.wav,planned,218
r__descend_low__t-legato_slur__d-mf__p-constant__v-V1__take02,real,real_violin,constant,descend_low,descend,low,legato_slur,49,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__descend_low__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__descend_low__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__descend_low__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,planned,219
r__leap_high__t-sustain__d-f__p-constant__v-V1__take01,real,real_violin,constant,leap_high,leap,high,sustain,36,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_high__t-sustain__d-f__p-constant.mid,data/real_48k/r__leap_high__t-sustain__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__leap_high__t-sustain__d-f__p-constant__v-V1__take01.wav,planned,220
r__arpeggio_low__t-pizzicato__d-mf__p-constant__v-V1__take01,real,real_violin,constant,arpeggio_low,arpeggio,low,pizzicato,43,mf,64,64,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__arpeggio_low__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__arpeggio_low__t-pizzicato__d-mf__p-constant__v-V1__take01.wav,data/real_raw/r__arpeggio_low__t-pizzicato__d-mf__p-constant__v-V1__take01.wav,planned,221
r__scale_high__t-sustain__d-f__p-constant__v-V2__take01,real,real_violin,constant,scale_high,scale,high,sustain,36,f,96,96,,V2,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_high__t-sustain__d-f__p-constant.mid,data/real_48k/r__scale_high__t-sustain__d-f__p-constant__v-V2__take01.wav,data/real_raw/r__scale_high__t-sustain__d-f__p-constant__v-V2__take01.wav,planned,222
r__repeat_high__t-sustain__d-f__p-constant__v-V1__take01,real,real_violin,constant,repeat_high,repeat,high,sustain,36,f,96,96,,V1,P1,1,1,86.0,True,0.75,data/midi/expanded/reference/ref__repeat_high__t-sustain__d-f__p-constant.mid,data/real_48k/r__repeat_high__t-sustain__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__repeat_high__t-sustain__d-f__p-constant__v-V1__take01.wav,planned,223
r__scale_mid__t-staccato__d-mf__p-constant__v-V2__take01,real,real_violin,constant,scale_mid,scale,mid,staccato,40,mf,64,64,,V2,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_mid__t-staccato__d-mf__p-constant.mid,data/real_48k/r__scale_mid__t-staccato__d-mf__p-constant__v-V2__take01.wav,data/real_raw/r__scale_mid__t-staccato__d-mf__p-constant__v-V2__take01.wav,planned,224
r__long_short_high__t-legato_slur__d-p__p-constant__v-V1__take01,real,real_violin,constant,long_short_high,long_short,high,legato_slur,49,p,32,32,,V1,P1,1,1,81.0,True,0.75,data/midi/expanded/reference/ref__long_short_high__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__long_short_high__t-legato_slur__d-p__p-constant__v-V1__take01.wav,data/real_raw/r__long_short_high__t-legato_slur__d-p__p-constant__v-V1__take01.wav,planned,225
r__long_low__t-sustain__d-p__p-constant__v-V1__take02,real,real_violin,constant,long_low,long,low,sustain,36,p,32,32,,V1,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-sustain__d-p__p-constant.mid,data/real_48k/r__long_low__t-sustain__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__long_low__t-sustain__d-p__p-constant__v-V1__take02.wav,planned,226
r__leap_mid__t-sustain__d-mf__p-constant__v-V2__take02,real,real_violin,constant,leap_mid,leap,mid,sustain,36,mf,64,64,,V2,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_mid__t-sustain__d-mf__p-constant.mid,data/real_48k/r__leap_mid__t-sustain__d-mf__p-constant__v-V2__take02.wav,data/real_raw/r__leap_mid__t-sustain__d-mf__p-constant__v-V2__take02.wav,planned,227
r__leap_low__t-legato_slur__d-p__p-constant__v-V1__take02,real,real_violin,constant,leap_low,leap,low,legato_slur,49,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_low__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__leap_low__t-legato_slur__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__leap_low__t-legato_slur__d-p__p-constant__v-V1__take02.wav,planned,228
r__long_short_low__t-pizzicato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,long_short_low,long_short,low,pizzicato,43,mf,64,64,,V1,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_short_low__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__long_short_low__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__long_short_low__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,planned,229
r__scale_high__t-pizzicato__d-mf__p-constant__v-V1__take01,real,real_violin,constant,scale_high,scale,high,pizzicato,43,mf,64,64,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_high__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__scale_high__t-pizzicato__d-mf__p-constant__v-V1__take01.wav,data/real_raw/r__scale_high__t-pizzicato__d-mf__p-constant__v-V1__take01.wav,planned,230
